"filename", "language", "Swift", "JSON", "XML", "C++", "CMake", "Dart", "YAML", "Markdown", "HTML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"e:\Flutter_apps\neural_network\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\Flutter_apps\neural_network\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"e:\Flutter_apps\neural_network\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\Flutter_apps\neural_network\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\Flutter_apps\neural_network\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\Flutter_apps\neural_network\windows\runner\utils.cpp", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\Flutter_apps\neural_network\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\Flutter_apps\neural_network\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\Flutter_apps\neural_network\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 52, 248, 602, 534, 37, 369, 22, 13, 38, 8, 101, 4, 306, 365, 2699
